sep=,
object,collection,nVert,nFace,totSurface,Vol,planarity,mediaVX,mediaVY,mediaVZ,varVX,varVY,varVZ,mediaNX,mediaNY,mediaNZ,varNX,varNY,varNZ,eigv1,eigv2,eigv3,x1,y1,z1,x2,y2,z2,x3,y3,z3,XN_YN_ZN_x,XN_YN_ZN_y,XN_YN_ZN_z,XN_YN_ZP_x,XN_YN_ZP_y,XN_YN_ZP_z,XN_YP_ZN_x,XN_YP_ZN_y,XN_YP_ZN_z,XN_YP_ZP_x,XN_YP_ZP_y,XN_YP_ZP_z,XP_YN_ZN_x,XP_YN_ZN_y,XP_YN_ZN_z,XP_YN_ZP_x,XP_YN_ZP_y,XP_YN_ZP_z,XP_YP_ZN_x,XP_YP_ZN_y,XP_YP_ZN_z,XP_YP_ZP_x,XP_YP_ZP_y,XP_YP_ZP_z,objType
59,muroDonnafugataPietre,90,114,0.63,0.004,0.298,-1.603,-0.577,-4.142,0.198,0.276,0.076,-0.023,-0.26,0.346,0.506,0.546,0.507,7.537,9.105,5.142,0.979,0.1,-0.178,0.113,0.46,0.881,0.169,-0.882,0.439,0.337,0.684,0.423,0.421,0.575,0.513,0.456,0.156,0.705,0.412,0.429,0.632,0.549,0.44,0.568,0.432,0.602,0.464,0.832,0.497,0.179,0.33,0.385,0.653,sand
60,muroDonnafugataPietre,51,66,0.691,0.01,0.438,-0.757,-0.325,-3.951,0.385,0.116,0.223,-0.097,-0.568,0.291,0.52,0.412,0.378,8.518,10.472,2.569,0.335,0.025,0.942,-0.45,0.882,0.137,-0.828,-0.47,0.306,0.658,0.386,0.239,0.522,0.57,0.404,0.86,0.51,0.023,0.719,0.235,0.418,0.567,0.552,0.408,0.204,0.792,0.379,0.0,0.0,0.0,0.451,0.203,0.667,granule
61,muroDonnafugataPietre,70,86,0.737,0.008,0.521,0.213,-0.33,-3.892,0.277,0.117,0.252,0.171,-0.611,-0.127,0.473,0.355,0.483,9.872,7.29,4.334,0.432,0.511,0.743,-0.881,0.417,0.226,-0.195,-0.752,0.63,0.355,0.449,0.711,0.233,0.885,0.289,0.383,0.556,0.505,0.99,0.102,0.097,0.458,0.597,0.466,0.444,0.707,0.359,0.886,0.163,0.434,0.959,0.199,0.202,granule
62,muroDonnafugataPietre,39,42,0.201,0.002,0.573,0.775,-0.331,-4.11,0.233,0.103,0.09,-0.043,-0.556,0.355,0.391,0.454,0.452,2.49,2.648,0.536,0.306,-0.107,-0.946,0.938,0.201,0.281,0.16,-0.974,0.162,0.351,0.854,0.114,0.335,0.672,0.556,0.197,0.479,0.843,0.0,0.0,0.0,0.0,0.0,0.0,0.312,0.737,0.452,0.527,0.549,0.564,0.307,0.209,0.912,sand
63,muroDonnafugataPietre,284,496,2.459,0.021,0.295,1.921,-0.339,-3.656,0.483,0.137,0.311,0.022,-0.486,0.031,0.525,0.466,0.519,79.565,90.459,28.165,0.314,0.097,0.944,-0.444,0.894,0.056,-0.839,-0.437,0.324,0.403,0.668,0.431,0.409,0.678,0.365,0.449,0.452,0.584,0.64,0.391,0.498,0.425,0.664,0.364,0.42,0.624,0.463,0.624,0.329,0.54,0.517,0.252,0.667,pebble
64,muroDonnafugataPietre,24,24,0.202,0.004,0.661,0.913,-0.216,-3.53,0.32,0.099,0.112,0.096,-0.753,-0.243,0.311,0.312,0.413,2.852,2.766,0.379,0.25,0.034,0.968,0.001,0.999,-0.036,-0.968,0.009,0.25,0.246,0.629,0.548,0.199,0.934,0.193,0.329,0.126,0.936,0.0,0.0,0.0,0.365,0.663,0.485,0.239,0.951,0.082,0.0,0.0,0.0,0.0,0.0,0.0,sand
65,muroDonnafugataPietre,45,63,0.283,0.005,0.252,1.061,-0.377,-3.91,0.18,0.17,0.16,0.03,-0.43,0.111,0.482,0.544,0.524,3.45,2.584,1.797,0.657,-0.301,-0.691,0.184,0.953,-0.241,0.731,0.031,0.681,0.448,0.673,0.42,0.314,0.68,0.434,0.543,0.678,0.349,0.583,0.477,0.562,0.482,0.626,0.443,0.34,0.701,0.459,0.265,0.162,0.947,0.576,0.452,0.591,sand
66,muroDonnafugataPietre,77,129,0.606,0.006,0.293,1.721,-0.282,-2.704,0.155,0.116,0.347,-0.118,-0.434,0.142,0.536,0.449,0.538,10.688,10.87,2.714,0.955,-0.291,-0.059,0.297,0.945,0.136,0.016,-0.148,0.989,0.486,0.686,0.295,0.519,0.576,0.432,0.374,0.356,0.738,0.638,0.29,0.523,0.361,0.656,0.46,0.287,0.63,0.629,0.643,0.362,0.551,0.587,0.23,0.667,sand
67,muroDonnafugataPietre,122,180,2.34,0.025,0.518,2.875,-0.401,-2.505,0.686,0.086,0.422,0.045,-0.739,-0.131,0.363,0.356,0.42,69.388,69.793,20.867,0.198,0.125,0.972,-0.603,0.797,0.02,-0.773,-0.591,0.233,0.205,0.788,0.368,0.393,0.618,0.41,0.233,0.413,0.804,0.0,0.0,0.0,0.179,0.841,0.25,0.367,0.749,0.348,0.294,0.174,0.921,0.726,0.314,0.43,pebble
68,muroDonnafugataPietre,56,77,0.749,0.008,0.484,3.316,-0.275,-3.319,0.366,0.115,0.194,-0.023,-0.665,-0.13,0.475,0.276,0.489,9.015,9.238,2.405,0.257,0.069,0.964,-0.496,0.866,0.07,-0.83,-0.496,0.257,0.475,0.657,0.408,0.5,0.677,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.332,0.632,0.604,0.336,0.806,0.349,0.0,0.0,0.0,0.026,0.795,0.606,granule
