nVert,nFace,totSurface,Vol,planarity,mediaVX,mediaVY,mediaVZ,varVX,varVY,varVZ,mediaNX,mediaNY,mediaNZ,varNX,varNY,varNZ,eigv1,eigv2,eigv3,x1,y1,z1,x2,y2,z2,x3,y3,z3,XN_YN_ZN_x,XN_YN_ZN_y,XN_YN_ZN_z,XN_YN_ZP_x,XN_YN_ZP_y,XN_YN_ZP_z,XN_YP_ZN_x,XN_YP_ZN_y,XN_YP_ZN_z,XN_YP_ZP_x,XN_YP_ZP_y,XN_YP_ZP_z,XP_YN_ZN_x,XP_YN_ZN_y,XP_YN_ZN_z,XP_YN_ZP_x,XP_YN_ZP_y,XP_YN_ZP_z,XP_YP_ZN_x,XP_YP_ZN_y,XP_YP_ZN_z,XP_YP_ZP_x,XP_YP_ZP_y,XP_YP_ZP_z,objType
84,115,0.028,0.0,1.693,1.129,-0.052,-0.04,0.05,0.02,0.056,0.199,-0.204,0.562,0.528,0.408,0.397,0.441,0.376,0.183,0.612,-0.586,-0.531,0.64,0.761,-0.104,0.465,-0.277,0.841,0.113,0.911,0.397,0.393,0.331,0.718,0.0,0.0,0.0,0.461,0.376,0.665,0.752,0.431,0.31,0.45,0.422,0.611,0.853,0.315,0.258,0.414,0.349,0.681,silt
80,101,0.031,0.0,2.361,1.108,-0.064,-0.235,0.064,0.021,0.064,0.027,-0.006,0.818,0.334,0.393,0.254,0.652,0.399,0.315,0.395,-0.769,0.503,0.886,0.463,0.012,-0.242,0.441,0.864,0.0,0.0,0.0,0.272,0.221,0.847,0.0,0.0,0.0,0.354,0.529,0.64,0.763,0.46,0.335,0.206,0.264,0.905,0.0,0.0,0.0,0.216,0.23,0.904,silt
536,926,0.229,0.001,0.272,-1.103,0.204,0.671,0.154,0.083,0.085,0.093,0.066,0.342,0.612,0.508,0.488,17.23,15.969,7.358,0.275,0.278,0.92,-0.957,-0.01,0.289,0.09,-0.96,0.263,0.716,0.287,0.428,0.506,0.432,0.548,0.581,0.479,0.383,0.474,0.436,0.66,0.693,0.444,0.387,0.574,0.442,0.482,0.644,0.435,0.376,0.538,0.403,0.555,sand
282,451,0.142,0.001,0.613,-0.794,0.177,0.609,0.11,0.044,0.121,-0.03,0.114,0.528,0.553,0.503,0.386,6.829,7.136,2.176,0.709,-0.306,0.636,0.333,0.939,0.081,-0.622,0.154,0.768,0.535,0.457,0.424,0.533,0.418,0.576,0.449,0.77,0.228,0.452,0.433,0.662,0.7,0.465,0.34,0.539,0.434,0.506,0.511,0.596,0.342,0.411,0.384,0.677,sand
329,569,0.222,0.001,0.493,-0.471,0.086,0.622,0.137,0.07,0.115,-0.155,-0.052,0.526,0.551,0.473,0.412,11.362,7.29,5.551,0.418,-0.512,0.751,0.895,0.376,-0.242,-0.158,0.773,0.615,0.609,0.54,0.309,0.532,0.431,0.574,0.69,0.496,0.214,0.512,0.357,0.611,0.611,0.559,0.354,0.399,0.333,0.705,0.438,0.399,0.678,0.402,0.343,0.703,sand
396,618,0.275,0.002,0.312,0.319,0.08,0.597,0.174,0.088,0.144,0.073,0.112,0.411,0.602,0.507,0.44,19.521,20.167,6.756,0.595,-0.101,0.798,0.055,0.995,0.084,-0.802,-0.006,0.597,0.517,0.634,0.339,0.549,0.47,0.476,0.588,0.515,0.374,0.51,0.407,0.626,0.768,0.367,0.296,0.534,0.419,0.606,0.764,0.373,0.267,0.441,0.512,0.587,sand
334,556,0.185,0.001,0.368,-0.001,0.109,0.601,0.112,0.059,0.123,0.211,0.097,0.379,0.515,0.593,0.43,8.072,8.359,4.335,0.739,0.442,0.508,-0.598,0.777,0.195,-0.309,-0.448,0.839,0.529,0.53,0.32,0.358,0.592,0.56,0.423,0.736,0.285,0.337,0.553,0.595,0.753,0.488,0.236,0.523,0.478,0.506,0.49,0.628,0.325,0.471,0.497,0.57,sand
321,523,0.171,0.001,0.457,0.703,0.121,0.556,0.099,0.083,0.154,0.079,0.131,0.479,0.518,0.559,0.408,11.271,11.333,3.348,0.896,-0.19,0.402,0.075,0.956,0.284,-0.438,-0.224,0.871,0.316,0.806,0.297,0.447,0.401,0.657,0.415,0.698,0.311,0.327,0.538,0.638,0.545,0.459,0.439,0.42,0.517,0.585,0.509,0.571,0.325,0.546,0.474,0.542,silt
268,434,0.159,0.001,0.588,1.015,0.062,0.641,0.096,0.08,0.124,0.112,0.114,0.491,0.541,0.536,0.391,6.82,6.782,3.005,0.835,-0.47,0.285,0.333,0.845,0.418,-0.438,-0.254,0.863,0.019,0.695,0.719,0.404,0.452,0.574,0.461,0.594,0.486,0.513,0.391,0.655,0.674,0.523,0.314,0.448,0.457,0.557,0.428,0.668,0.413,0.479,0.507,0.558,silt
311,518,0.226,0.001,0.632,-1.077,0.038,0.249,0.164,0.039,0.159,0.155,0.184,0.563,0.37,0.558,0.421,12.99,15.991,4.413,0.675,-0.155,0.721,0.165,0.985,0.057,-0.719,0.08,0.69,0.431,0.67,0.313,0.284,0.572,0.601,0.583,0.557,0.384,0.276,0.641,0.536,0.508,0.527,0.493,0.323,0.273,0.812,0.519,0.633,0.272,0.305,0.572,0.595,sand
