sep=,
object,collection,nVert,nFace,totSurface,Vol,planarity,mediaVX,mediaVY,mediaVZ,varVX,varVY,varVZ,mediaNX,mediaNY,mediaNZ,varNX,varNY,varNZ,eigv1,eigv2,eigv3,x1,y1,z1,x2,y2,z2,x3,y3,z3,XN_YN_ZN_x,XN_YN_ZN_y,XN_YN_ZN_z,XN_YN_ZP_x,XN_YN_ZP_y,XN_YN_ZP_z,XN_YP_ZN_x,XN_YP_ZN_y,XN_YP_ZN_z,XN_YP_ZP_x,XN_YP_ZP_y,XN_YP_ZP_z,XP_YN_ZN_x,XP_YN_ZN_y,XP_YN_ZN_z,XP_YN_ZP_x,XP_YN_ZP_y,XP_YN_ZP_z,XP_YP_ZN_x,XP_YP_ZN_y,XP_YP_ZN_z,XP_YP_ZP_x,XP_YP_ZP_y,XP_YP_ZP_z,objType
mongialino.034,pietreMongialino,528,929,2.97,0.047,0.316,-3.155,-0.327,-0.649,0.333,0.342,0.412,0.244,0.016,0.417,0.55,0.566,0.379,176.154,159.157,84.374,0.857,0.208,0.472,-0.445,0.76,0.473,-0.26,-0.615,0.744,0.433,0.599,0.471,0.509,0.334,0.664,0.599,0.621,0.266,0.432,0.531,0.559,0.626,0.662,0.172,0.508,0.48,0.479,0.675,0.523,0.129,0.575,0.395,0.537,pebble
mongialino.035,pietreMongialino,126,221,0.471,0.002,0.285,-3.04,0.339,0.352,0.147,0.107,0.127,-0.016,-0.121,0.402,0.614,0.511,0.431,5.238,4.158,3.034,0.578,-0.477,0.662,0.812,0.418,-0.408,-0.083,0.773,0.629,0.618,0.438,0.492,0.613,0.427,0.531,0.295,0.866,0.235,0.549,0.389,0.577,0.54,0.508,0.403,0.492,0.476,0.556,0.474,0.631,0.349,0.548,0.434,0.54,sand
mongialino.036,pietreMongialino,680,1207,2.647,0.028,0.304,-5.346,-0.912,-2.881,0.24,0.24,0.48,0.349,-0.111,0.391,0.465,0.523,0.472,218.589,180.264,71.063,0.864,0.501,0.053,-0.48,0.849,-0.219,-0.155,0.164,0.974,0.505,0.622,0.177,0.264,0.445,0.768,0.423,0.536,0.506,0.344,0.518,0.671,0.711,0.446,0.299,0.514,0.474,0.547,0.745,0.367,0.358,0.542,0.421,0.539,pebble
mongialino.037,pietreMongialino,179,300,0.679,0.005,0.277,-2.907,-0.582,-3.244,0.171,0.213,0.144,0.118,0.176,0.419,0.528,0.619,0.343,13.065,14.282,6.752,0.906,0.069,0.418,-0.408,0.415,0.814,-0.117,-0.907,0.404,1.0,0.015,0.01,0.313,0.571,0.624,0.342,0.778,0.21,0.513,0.533,0.475,0.533,0.536,0.021,0.425,0.605,0.514,0.525,0.752,0.175,0.508,0.525,0.497,granule
mongialino.038,pietreMongialino,41,54,0.119,0.001,0.813,-2.741,-0.755,-3.61,0.16,0.051,0.072,0.122,0.015,0.679,0.408,0.512,0.308,1.299,1.145,0.285,0.186,0.043,-0.982,-0.973,0.148,-0.178,0.138,0.988,0.069,0.0,0.0,0.0,0.336,0.389,0.779,0.122,0.993,0.007,0.31,0.192,0.902,0.0,0.0,0.0,0.336,0.464,0.667,0.5,0.866,0.01,0.41,0.502,0.596,sand
mongialino.039,pietreMongialino,128,201,0.41,0.002,0.361,-2.044,-0.412,-3.548,0.185,0.201,0.047,0.039,0.369,0.394,0.416,0.613,0.397,6.58,9.56,3.534,0.819,-0.052,0.571,-0.545,0.238,0.804,-0.178,-0.97,0.166,0.346,0.785,0.323,0.307,0.503,0.674,0.181,0.894,0.28,0.324,0.673,0.497,0.0,0.0,0.0,0.398,0.532,0.595,0.315,0.886,0.249,0.398,0.632,0.432,sand
mongialino.040,pietreMongialino,263,439,1.173,0.019,0.261,-2.152,-0.527,-3.044,0.255,0.237,0.308,0.006,0.102,0.424,0.555,0.562,0.431,49.933,49.143,14.446,0.833,-0.206,0.513,-0.053,0.894,0.444,-0.55,-0.397,0.734,0.669,0.455,0.376,0.429,0.351,0.716,0.588,0.564,0.291,0.48,0.484,0.594,0.647,0.587,0.267,0.522,0.55,0.44,0.474,0.682,0.224,0.363,0.512,0.626,granule
mongialino.041,pietreMongialino,172,289,0.72,0.007,0.246,-2.276,0.049,-2.629,0.138,0.334,0.141,-0.071,0.255,0.353,0.601,0.483,0.46,23.487,22.697,5.502,0.95,-0.309,0.041,0.043,0.26,0.965,-0.309,-0.915,0.261,0.996,0.081,0.024,0.549,0.285,0.635,0.563,0.636,0.206,0.524,0.405,0.593,0.887,0.263,0.283,0.578,0.45,0.462,0.456,0.717,0.318,0.323,0.577,0.53,granule
mongialino.042,pietreMongialino,1326,2423,7.414,0.162,0.423,-3.608,-0.542,-2.397,0.826,0.327,0.6,0.127,-0.095,0.58,0.474,0.548,0.336,1396.073,1144.344,510.401,0.35,0.257,0.901,-0.87,0.445,0.211,-0.347,-0.858,0.38,0.446,0.681,0.329,0.294,0.49,0.704,0.377,0.72,0.202,0.387,0.451,0.685,0.754,0.426,0.244,0.442,0.493,0.577,0.709,0.433,0.24,0.383,0.454,0.639,boulder
mongialino.043,pietreMongialino,251,430,1.167,0.014,0.221,-0.51,-0.041,-2.039,0.299,0.3,0.151,0.204,-0.053,0.337,0.584,0.584,0.4,42.992,45.212,13.215,0.709,-0.087,-0.7,-0.647,0.313,-0.695,0.279,0.946,0.165,0.656,0.449,0.296,0.421,0.495,0.579,0.8,0.425,0.181,0.495,0.494,0.52,0.722,0.483,0.266,0.544,0.537,0.477,0.804,0.383,0.213,0.456,0.581,0.463,granule
mongialino.044,pietreMongialino,591,1020,4.027,0.083,0.402,-0.986,-0.298,-2.663,0.684,0.28,0.436,0.025,0.043,0.587,0.474,0.543,0.365,403.349,315.805,150.924,0.226,0.196,-0.954,-0.804,0.59,-0.069,0.549,0.783,0.291,0.56,0.567,0.307,0.362,0.425,0.653,0.757,0.438,0.167,0.444,0.418,0.581,0.531,0.764,0.159,0.324,0.393,0.722,0.444,0.798,0.252,0.361,0.48,0.647,cobble
mongialino.045,pietreMongialino,620,1127,3.944,0.057,0.391,1.01,0.006,-2.51,0.494,0.217,0.53,0.026,-0.1,0.581,0.455,0.568,0.349,254.734,290.189,164.645,0.785,0.457,-0.419,-0.521,0.853,-0.046,0.336,0.254,0.907,0.22,0.956,0.071,0.316,0.404,0.728,0.508,0.796,0.182,0.432,0.547,0.522,0.419,0.802,0.233,0.391,0.495,0.617,0.0,0.0,0.0,0.328,0.368,0.742,cobble
mongialino.046,pietreMongialino,1033,1861,4.311,0.091,0.379,3.171,0.563,-2.68,0.558,0.368,0.444,0.242,-0.154,0.551,0.464,0.547,0.317,636.038,454.447,237.802,0.515,0.365,-0.776,-0.846,0.07,-0.529,-0.139,0.928,0.345,0.578,0.63,0.19,0.297,0.495,0.688,0.286,0.836,0.287,0.329,0.542,0.597,0.762,0.505,0.181,0.496,0.486,0.566,0.575,0.713,0.121,0.493,0.455,0.552,cobble
mongialino.047,pietreMongialino,850,1551,3.679,0.051,0.336,4.995,0.52,-2.577,0.582,0.257,0.34,-0.148,-0.023,0.553,0.468,0.554,0.381,397.867,351.352,135.68,0.284,-0.117,0.952,0.913,0.337,-0.231,-0.293,0.934,0.203,0.703,0.571,0.174,0.44,0.466,0.598,0.565,0.662,0.239,0.402,0.482,0.585,0.393,0.531,0.475,0.309,0.423,0.761,0.487,0.616,0.335,0.35,0.495,0.644,cobble
mongialino.048,pietreMongialino,168,276,0.523,0.002,0.259,5.46,0.567,-1.874,0.14,0.133,0.133,-0.055,-0.031,0.344,0.587,0.648,0.336,6.175,6.466,5.765,0.953,-0.3,0.05,0.293,0.862,-0.414,0.082,0.409,0.909,0.771,0.499,0.18,0.428,0.63,0.491,0.868,0.373,0.12,0.528,0.547,0.441,0.449,0.75,0.243,0.515,0.572,0.432,0.566,0.677,0.198,0.533,0.596,0.362,sand
mongialino.049,pietreMongialino,219,342,1.035,0.014,0.423,5.755,0.579,-1.46,0.256,0.166,0.329,-0.358,-0.144,0.512,0.397,0.48,0.448,40.975,29.196,17.969,0.657,-0.636,-0.405,0.728,0.674,0.121,0.196,-0.375,0.906,0.64,0.563,0.302,0.466,0.423,0.594,0.475,0.404,0.514,0.498,0.328,0.647,0.522,0.476,0.52,0.212,0.379,0.79,0.398,0.284,0.845,0.279,0.493,0.649,pebble
mongialino.050,pietreMongialino,193,311,0.753,0.007,0.297,5.747,0.611,-0.687,0.206,0.191,0.191,-0.115,0.135,0.461,0.491,0.56,0.45,18.783,15.638,10.005,0.685,-0.689,0.236,0.423,0.64,0.641,-0.593,-0.339,0.73,0.521,0.296,0.619,0.375,0.548,0.561,0.514,0.641,0.359,0.4,0.468,0.608,0.228,0.539,0.62,0.453,0.431,0.573,0.44,0.577,0.459,0.439,0.483,0.555,pebble
mongialino.051,pietreMongialino,678,1243,3.007,0.035,0.323,4.524,0.5,-1.547,0.564,0.216,0.291,0.038,0.013,0.529,0.488,0.602,0.343,261.448,265.174,82.314,0.207,0.072,0.976,-0.83,0.54,0.137,-0.517,-0.839,0.172,0.349,0.817,0.175,0.352,0.5,0.639,0.561,0.671,0.215,0.416,0.51,0.566,0.66,0.619,0.12,0.41,0.498,0.604,0.505,0.767,0.125,0.387,0.529,0.535,pebble
mongialino.052,pietreMongialino,132,213,0.564,0.006,0.4,2.159,0.087,-2.127,0.19,0.19,0.177,0.215,0.069,0.512,0.464,0.575,0.377,11.557,10.956,4.916,0.782,0.135,0.608,-0.574,0.535,0.62,-0.241,-0.834,0.496,0.391,0.889,0.239,0.322,0.482,0.694,0.203,0.967,0.045,0.413,0.527,0.595,0.851,0.247,0.314,0.418,0.531,0.57,0.573,0.622,0.26,0.424,0.443,0.655,granule
